Descripcio,Valor 0-5
"Intercalaciones de lodolitas, arenitas calcáreas y cuarzoarenitas de grano grueso a conglomeráticas.",1
Lavas e ignimbritas de composición andesítica,4
"Cuarzodioritas, tonalitas, dioritas y granodioritas.",5
"Granodioritas, tonalitas y cuarzodioritas.",5
"Arcillolitas, limolitas, limolitas arenosas, cuarzoarenitas y litoarenitas lodosas a conglomeráticas; packstone de moluscos y arenitas calcáreas.",1
"Basaltos y andesitas intercalados con arenitas lodosas líticas, lodolitas carbonosas, arenitas feldespáticas, calizas y limolitas silíceas.",1
"Cuarzoarenitas de grano fino a conglomeráticas intercaladas con lodolitas, limolitas silíceas arcillosas y lentes de calizas.",1
"Filitas; esquistos cuarzosericíticos, cloríticos, anfibólicos y grafíticos, y mármoles.",2
Flujos volcanoclásticos constituidos por piroclastos y epiclastos de composición andesítica,2
Tobas de cenizas y lapilli intercaladas con lavas de composición andesítica,2
"Tobas intercaladas con aglomerados, brechas, conglomerados, lodolitas y arenitas.",1
"Anfibolitas, gneises cuarzofeldespáticos, anfibolitas, migmatitas, esquistos y serpentinitas.",2
"Arcillolitas, limolitas, arenitas y conglomerados",1
Arenitas líticas de grano fino con concreciones calcáreas intercaladas con limolitas y arcillolitas,1
"Calizas arrecifales y terrígenas, y arenas calcáreas de grano fino a grueso. Depósitos de gravas intercaladas con arenas gravosas y niveles de lodos.",3
"Conglomerados, arenitas lodosas líticas, cuarzoarenitas, limolitas, shales y carbones.",1
"Conglomerados; arenitas de grano fino a medio con intercalaciones de limolitas, y arcillolitas rojizas.",1
Arcillolitas abigarradas y cuarzoarenitas de grano fino a conglomeráticas,1
"Arenitas, limolitas y lodolitas con intercalaciones de calizas, tobas y lavas.",1
Depósitos de ceniza y lapilli de composición andesítica,4
"Arcillas, turbas, y arcillas arenosas con niveles delgados de gravas. Localmente, capas de depósitos de diatomeas.",0
"Arenitas conglomeráticas y conglomerados en la base y el techo; arenitas, arcillolitas y carbones en la parte media.",1
"Calizas, lodolitas calcáreas y shales. También, fosforitas, cherts, bentonitas y arenitas glauconíticas.",1
"Conglomerados, tobas riodacíticas, cuarzoarenitas y arenitas feldespáticas.",2
"Esquistos anfibólicos, cuarzosericíticos, cloríticos y talcosos, y cuarcitas.",2
"Gneises cuarzofeldespáticos, anfibolitas, migmatitas, cuarcitas, gneises cuarzosos y granitos con variaciones a alaskitas y monzonitas.",4
"Metalodolitas, metarenitas, metaconglomerados y mármoles.",1
Pórfidos dacíticos y andesíticos,4
Andesitas porfiríticas,4
Cuarzodioritas que varían a dioritas,5
"Granodioritas, cuarzomonzonitas y granitos alcalinos con variaciones a dioritas y tonalitas.",5
"Lodolitas grises con intercalaciones medianas de calizas, cuarzoarenitas y lentes delgados de carbón.",1
Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.,1
"Arenitas, limolitas y lodolitas con mantos delgados de carbón.",1
Basaltos,4
"Intercalaciones de lodolitas calcáreas y silíceas; arenitas calcáreas; tobas; aglomerados; cherts, y basaltos.",1
"Limolitas con intercalaciones de arenitas, arcillolitas y calizas arenosas.",1
"Lodolitas y arenitas líticas localmente calcáreas con concreciones nodulares, y en la base, conglomerados.",1
Peridotitas serpentinizadas intruidas por diques de rodingitas; serpentinitas.,2
"Lodolitas oscuras y margas intercaladas con calizas, cuarzoarenitas y limolitas silíceas.",1
Arcillolitas intercaladas con arenitas feldespáticas que varían hacia el techo a cuarzoarenitas con shales.,1
Arenitas ferruginosas de grano fino a conglomeráticas intercaladas con shales calcáreos y carbón,1
"Arenitas líticas a sublíticas de grano medio interestratificadas con lodolitas; localmente turbas, carbón y lentes de conglomerados arenosos.",1
"Arenitas líticas a sublíticas, arenitas conglomeráticas, limolitas y arcillolitas abigarradas. Al sur, arenitas tobáceas y diatomitas.",0
"Calizas interestratificadas con arcillolitas, limolitas, shales calcáreos y arenitas.",1
"Capas rojas de conglomerados, arenitas líticas y feldespáticas, y cuarzoarenitas interestratificadas con lodolitas. Localmente, biohermas y calizas arenosas.",1
Conglomerados y lodolitas grises intercalados con calizas y arenitas,1
"Cuarzoarenitas de grano fino a grueso; conglomerados y arenitas feldespáticas y líticas, e intercalaciones de lodolitas oscuras.",1
Granitos con moscovita,5
Granodioritas y tonalitas que varían a cuarzodioritas y dioritas,5
Tonalitas que varían a cuarzodioritas,5
Brechas riolíticas constituidas por piroclastos y epiclastos,2
"Conglomerados y brechas; arenitas de grano fino a conglomeráticas y calizas estromatolíticas, e intercalaciones de lodolitas negras.",1
"Cuarzoarenitas glauconíticas o conglomeráticas, y conglomerados de cuarzo. Intercalaciones de lodolitas grises a negras y de calizas bioclásticas.",1
"Cuarzoarenitas, shales, margas, calizas y niveles delgados de cherts.",1
Cuarzomonzonitas con variaciones a granitos y granodioritas,5
"Lodolitas y margas con intercalaciones de calizas, cuarzoarenitas y limolitas silíceas.",1
"Lodolitas y shales calcáreos, con algunos niveles de arenitas.",1
"Pórfidos granodioríticos, cuarzodioríticos y dioríticos.",4
"Shales con yeso, cherts, calizas y arenitas.",1
"Basaltos, andesitas y dacitas porfiríticas.",4
"Calizas, lodolitas oscuras y cuarzoarenitas.",1
"Capas rojas de limolitas, arenitas de grano fino hasta conglomeráticas, conglomerados y brechas.",2
"Conglomerados basales, arenitas rojas y calizas.",3
"Filitas, cuarcitas, metaconglomerados, y metarenitas feldespáticas y calcáreas.",2
Monzonitas y tonalitas,5
Mármoles con intercalaciones menores de cuarcitas,3
"Pizarras, filitas y limolitas micáceas intercaladas con cuarzoarenitas",2
"Arenitas de grano fino a medio intercaladas con lodolitas y mantos de carbón. En ocasiones, calizas y arenitas calcáreas.",1
Basaltos y andesitas basálticas,4
Conglomerados y cuarzoarenitas que gradan a limolitas y lodolitas oscuras con intercalaciones de arenitas y conglomerados,1
"Conglomerados, arenitas de grano grueso y tobas dacíticas.",2
Cuarzoarenitas de grano grueso a conglomeráticas con niveles de lodolitas grises y lentes de carbón,1
"Granitos de anatexia, gneises cuazofeldespáticos, gneises migmatíticos, anfibolitas y granulitas.",4
"Intercalación de litoarenitas lodosas conglomeráticas, conglomerados arenosos y lodolitas levemente conglomeráticas.",1
"Lodolitas negras, limolitas, calizas y localmente conglomerados.",1
"Shales calcáreos o silíceos; cherts; cuarzoarenitas y arenitas líticas; conglomerados gradados, y calizas arrecifales.",1
"Shales y arenitas glauconíticas a la base; limolitas y arcillolitas intermedias, y calizas y shales calcáreos al tope.",1
"Shales, limolitas, arenitas y calizas.",1
Sienita nefelínica,5
"Tonalitas a granodioritas con algunas variaciones a dioritas, aplitas y gabros.",5
Tonalitas y granitos,5
"Basaltos toleíticos, komatiitas y brechas picríticas.",2
Basaltos y andesitas basálticas porfiríticas con fenocristales de granate intercalados con aglomerados y tobas. Predominio de epiclastos hacia el este.,2
"Dioritas, granodioritas, cuarzodioritas, tonalitas y gabros.",5
Esquistos glaucofánicos intercalados con esquistos anfibólicos y cloríticos,2
Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas,2
Flujos volcanoclásticos constituidos por piroclastos y epiclastos de composición andesítica y dacítica,2
Gabros alcalinos,5
"Anfibolitas granatíferas, esquistos cuarzosericíticos; anfibolitas.",2
"Cuarzoarenitas de grano fino a conglomeráticas intercaladas con conglomerados, lodolitas y carbones.",1
"Cuarzoarenitas; arenitas feldespáticas o líticas, gradadas, finas a conglomeráticas, e intercalaciones rítmicas de shales y calizas al tope.",1
"Domos andesíticos; flujos de lava, de piroclastos y de brechas volcánicas.",2
"Esquistos actinolíticos, cloríticos, cuarzosericíticos y grafíticos.",2
"Filitas, metarenitas, metaconglomerados, mármoles y metacherts. Esporádicas brechas volcánicas metamorfizadas y serpentinitas.",2
Gabros bandeados isotrópicos,5
Granulitas,5
"Intercalaciones de metarenitas de grano fino a muy fino y metalodolitas de color gris, gris verdoso y café, con zonas de milonitas.",1
"Metarenitas, metarenitas conglomeráticas y metaconglomerados con líticos de rocas metamórficas, e intercalaciones de lodolitas.",1
"Monzogranitos biotíticos, sienogranitos.",5
Pórfidos andesíticos y dacíticos,4
Pórfidos dioríticos,4
Tres conjuntos de cuarzoarenitas de grano fino a medio separadas por dos segmentos con intercalaciones de arenitas de grano fino y lodolitas negras,1
Arenitas granodecrecientes de grano medio predominante,3
"Basaltos y andesitas asociados con tobas líticas, de cristales y cristalolíticas de composición básica.",2
"Calizas, arenitas calcáreas y hacia la base conglomerados oligomícticos basálticos.",3
Cuarzoarenitas de grano fino a conglomeráticas intercaladas con lodolitas,1
"Cuarzoarenitas. Al tope, glauconíticas o ferruginosas y, en la parte media, con intercalaciones de calizas y shales.",1
"Dacitas y riolitas en cuellos, silos y diques. Ocasionalmente, capas piroclásticas que varían de lapilli a cenizas.",2
"Dunitas, serpentinitas y esquistos talcosos.",2
"En la base, conglomerados con bloques de gneises que pasan a calizas grises levemente deformadas.",3
Granodioritas a dioritas,5
Metagabros,5
Shales y cuarzoarenitas de grano fino a grueso,1
Tobas de cenizas intercaladas con biohermas de calizas cortadas por diques de diorita,2
